"id","name","latitude","longitude"
"mLiBJYcUNKD7AZ-fSmPYa","3RD  ST  AT  MARTEL  AV","34.06967561969023","-118.34980157209058"
"cTqb7k_JxFUvhZKWEYDW4","CAPRI DR AT CORSICA DR","34.0512883676575","-118.50143992253716"
"6wRZMmAZX0wNsFzd_bu09","2nd ST AT SYCAMORE AV","34.07105330917843","-118.34187452169922"
"MSQVslbBv-NlXftH1ndch","TRACY  ST  AT  MYRA  AV","34.10834359846208","-118.28003059191411"
"rkTEwdw4WVc_A2zAd_m6N","CARMELINA  AV  AT  SUNSET  BL","34.05782768040823","-118.4806853205315"
"KPRyocR27_zLiN0jvTMBr","SHADY DR   W/O   CARMELINA  AV","34.05369466868543","-118.47948997653249"
"exUsPkZnjY00OdJ7ZJxh5","CAMDEN  AV  AT  LA GRANGE  AV","34.04402556124152","-118.43861534212739"
"5mMb8b2ujet-x2btS-XYd","FIGUEROA  ST  AT  BUENA VISTA TER","34.13183587469069","-118.18913909790031"
"BRr0KLz2GwMne1eUAxYSs","BELLWOOD  AV  S/O  OLYMPIC  BL","34.05231900563161","-118.41747055940401"
"ZCzz30qZqwyaqbsU9CmA-","GLENDON  AV  AT  MISSISSIPPI  AV","34.04580324057995","-118.43201834036311"
"SoF4mrsJcW_jZUGHtTP2G","MALCOLM  AV  AT  ROCHESTER  AV","34.05799381576176","-118.43901379125496"
"eRWfsbtC9G5LNmafNEV7B","WEYBURN  AV  E/O  MALCOLM  AV","34.063096445743376","-118.43890554221949"
"IPqqusONQsIOpFVP-CXoN","ORCHARD AV N/O 149TH ST","33.89682473851106","-118.2875978367859"
"mDhE7cAawwgp9KNAoNI_E","WASHINGTON BL AT BRONSON AV","34.0398765530428","-118.32975030053531"
"kzDFuzTJ3tihY_4myF7ww","OLYMPIC  BL  AT  UNION  AV","34.04919842132113","-118.27419063376757"
"GHHFl0ELE2mCiJWXr-HRt","CURSON AV AT ADAMS BL","34.033911299684625","-118.36544826560657"
"TjqV-8e9Vd8fOWDCszNrs","HOOVER  ST  AT  18TH  ST","34.04283271022364","-118.2841432812656"
"DnCjAJtX5Qs-pGOj0D3Xz","28TH  ST  AT  HOOVER  ST","34.02935045750998","-118.28396472228656"
"JWPemLjT9Rh6TQGhEhWKr","PACKARD  ST  AT  MASSELIN  AV","34.05163711983241","-118.35741909681045"
"rrCuVovLT2sSLTFdTBmFY","GARTH  AV  AT AIRDROME  ST","34.04923217163699","-118.3771173871437"
"LvWw-2fWWIjHWF53yT5ZM","MEYLER ST AT 19th ST","33.727000791345496","-118.29680536367223"
"ExwxINJTEvaheoID0DW34","LANARK ST AT SULLY DR","34.21818935112362","-118.34856526500161"
"kskvO5PXNE9CfPv3F9zig","ROSCOE  BL  AT  HAZELTINE  AV","34.221626573060824","-118.4404458485246"
"7wdIjm9ZAnBuodIrVvTBq","LANKERSHIM  BL  AT  STRATHERN  ST","34.2157166957947","-118.38779323437471"
"4J3ylJ-mANRIsd5RS_1TX","BERKELEY  AV   AT   WATERLOO  ST","34.084495387979054","-118.26221394072502"
"ebM3vsGkuRmEnTg6QDvBx","ROSSMORE AV S/O BEVERLY BL","34.07303049399152","-118.32736663122516"
"mJU-ZMDxvXkfNd1pZ1ZuR","ROSSMORE AV AT 3 rd ST","34.071611091764815","-118.32736027779049"
"jUzHUic0fLcF-RWH37hrL","EL CONTENTO DR  AT  QUEBEC  DR","34.11117788555012","-118.32675447267523"
"9ptK2l0pdVt2Z5YCx5ESX","SALE  AV  S/O  VENTURA  BL","34.166553664422565","-118.61837262881077"
"oH-v0423X5O2e-fDc5und","SHOUP  AV  AT  VENTURA  BL","34.168769718380595","-118.61458712726696"
"Cc27DuhVy6ixOVuAWsssF","FALLBROOK  AV  AT  OXNARD  ST","34.17736968030695","-118.6233436538961"
"P94qk-cNZdrpwxr3D1Rxh","EILAT  ST  AT  ROD  AV","34.177431473112144","-118.66298951326222"
"mMiPk7lBYDrRdLmaKrLQX","TUJUNGA  AV  S/O  SHERMAN  WAY","34.195192230303206","-118.3790581416371"
"eeniLdYmsQKY21YPtuoDQ","LANKERSHIM BL AT VANOWEN ST","34.19212211641452","-118.3877910780367"
"myaBZ4KC4y98cZVaLIY_l","VALLEY VISTA BL AT SUNNYSLOPE AV","34.14434427297187","-118.42716906585989"
"g-UxSqASWAvBxCdwB-sPC","LASSEN ST AT HASKELL AV","34.250085444716376","-118.47399971668776"
"iczdIk-RzTxXhjtAt-F_t","WHITSETT AV AT SARAH ST","34.153156249442574","-118.40522233615413"
"WbDdGgYjVS64QFCdoyEoe","MATHER  AV  AT  APPERSON  ST","34.25423246972325","-118.30966754046067"
"sZrQdarDcBxRG79tjHjsf","BEACHY  AV   AT   VAN NUYS  BL","34.251599727889904","-118.4419790608449"
"VoXWL6vbhwfsnY9wScoDp","CARL ST AT BARTEE AV","34.253703599351795","-118.43548078171754"
"FMeQbC_aM4A4WEu4xS1jz","VALERIO  ST  AT  LINDLEY  AV","34.20477132677835","-118.52733525224626"
"GCs_qJdN3m2Q2f2WUznXp","ELDRIDGE AV AT SAYRE ST","34.3174017752019","-118.42394279495674"
"ra2CfGjEP8Am_TIry3sfP","OSBORNE  ST  AT  WOODMAN  AV","34.23387433529966","-118.43732969531987"
"ezwanyIg087OAPSMRprpH","ALGINET  DR  W/O  CALNEVA  DR","34.1334271734334","-118.49738674241453"
"CHVcnGVVhCHTSP2i2bK_2","FIGUEROA  ST  AT  DIAMOND  ST","34.05841000285753","-118.25138584379164"
"ThoEv63hnx_FbTv9Tlfpv","MONTANA  ST  AT  GLENDALE  BL","34.07973047787546","-118.26008756395922"
"sb5SiChv3cO0__ejR2BpE","PENMAR  AV  AT  ROSE  AV","34.00573634999211","-118.45958655788846"
"juzXstVjCUMdTPmqwHKYo","PALMS  BL  AT  WADE  ST","34.00814487403276","-118.44285486462377"
"17s1Ta-0pL1fmTU-N68rH","LASSEN ST AT MASON AV","34.24999397005307","-118.57700195443826"
"QxxMFpfmJq2PSqNrMhtxB","1ST  ST  E/O  LORENA  ST","34.037153911483635","-118.19503754812587"
"dTIcl8XI-hKscy9cfR9Ye","4TH  ST  AT  STATE  ST","34.043058251579154","-118.21963920075206"
"P5PO1x1bF-GQ5jr7Vvxgx","WILMINGTON  AV  AT  CENTURY  BL","33.94607724421377","-118.23901285287053"
"mQS_ps1cnuJL1VZ6-4m5J","CHENAULT  ST  AT  BARRINGTON  AV","34.056315859543716","-118.46765433752478"
"hN14wBx8M-WEotkz1VZxJ","WOLLAM  ST  AT  SCARBORO  ST","34.10337235782394","-118.22448345545224"
"EQX1tsmHwzYyP4qrPTjnH","LEXINGTON AV E/O WESTERN AV","34.0929203634458","-118.3088670480327"
